Author,Title,Publication Title,Abstract Note,Publication Year,Vignettes?,Diagnosis Scenario/Methodology Type,Confidence/Calibration Measure,Fixed Information?,Information Stages?,Information Seeking as a DV? (Binary or Continuous),Novices and Experts?,Experience as an IV/DV?,Multiple Differentials as DV?,Case Complexity?,Medical Discipline,Any IDs?,Experience Level,Experience Mix,Sample Size,Acute vs Elective,Finding Category,Notes,Finding
"Kostopoulou, Olga; Russo, J. Edward; Keenan, Greg; Delaney, Brendan C.; Douiri, Abdel",Information Distortion in Physicians’ Diagnostic Judgments,Medical Decision Making,"Background: Information distortion suggests that people change the evaluation of new information to support an emerging belief. The present study was designed to measure the extent to which physicians distort incoming medical information to support an emerging diagnosis. Design: Data were collected via an anonymous questionnaire. The experimental group (102 physicians) read 3 patient scenarios, each with 2 competing diagnoses. Physicians first read information that favored 1 of the 2 diagnoses (the “steer”). They then rated a series of neutral cues that favored neither diagnosis. At each cue presentation, respondents rated the extent to which cues favored either diagnosis and updated the strength of their diagnostic belief. After the neutral cues in the third scenario, respondents rated cues that opposed the initial steer. A control group (36 physicians) rated all the cues in random order and not within scenarios, thus providing unbiased baseline ratings for calculating distortion in the experimental group. Results: Distortion was statistically significant ( P < 0.001) and was associated with the strength of belief in the leading diagnosis. Physicians with over 10 years in practice distorted less than their less experienced counterparts ([Formula: see text] = 1.04 v. [Formula: see text] = 1.78, P < 0.05). Having developed an initial diagnostic leaning consistent with the steer, 56% of physicians remained committed to it after receiving the conflicting cues. Distortion was strongly associated with commitment to the steer (odds ratio, 1.4; 95% confidence interval, 1.03–1.79; P = 0.03). Limitations: Physicians did not elicit information; therefore, the authors cannot estimate the size of distortion in tasks involving information search. Conclusions: Distortion could partly explain commitment of physicians to an early diagnosis. Both distortion and strength of initial diagnostic belief seem to decline after 10 years in family medicine.",2012,Yes,3 clinical scenarios each with 2 competing diagnoses,21 point likelihood,No,No,No,No,Yes,No,No (but manipulated for which diagnosis the information was in favour of),Primary Care,Yes (experience level),,No,102,,Confidence with Experience,Information Interpretation?,"With information favouring a diagnosis, neutral cues were more likely to be interpreted as confirmatory but this distortion lessened with experience"
"Küper, A.; Lodde, G.; Livingstone, E.; Schadendorf, D.; Krämer, N.",Mitigating cognitive bias with clinical decision support systems: an experimental study,Journal of Decision Systems,"Bias in clinical reasoning has been identified as one of the main sources of diagnostic errors. Clinical Decision Support Systems that suggest possible diagnoses and provide information to mitigate cognitive bias could support physicians in finding a less biased diagnosis. We examine the influence of confidence and experience on the probability to adjust the decision after receiving decision aid and whether forming a first opinion beforehand or immediately receiving decision support makes a difference. 103 physicians and medical students participated in an online experiment built on decision tasks formulated to trigger availability and representativeness bias. The analysis showed that the presentation of prevalence data to mitigate availability bias changed the final probability estimate of the diagnosis significantly. Prototypical data to counteract representativeness bias showed no significant change. Medical experience, confidence in the decision, and timing of support had no significant influence on the probability to change the estimate. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",2023,Yes,6 clinical scenarios,7 point scale confidence as well as likelihood of each differential,No (manipulated to receive additional information),No,No,Yes,Yes (physician and student),Yes (3-4),Yes (manipulated whether case description was representative or not of diagnosis),Students and physicians,No,,Yes,103,,Differential Information Intervention,,Providing prevalence (base rate) information changes diagnoses. Not much on confidence
"Gruppen, L; Wolf, F; Billi, J","Information Gathering and Integration as Sources of
Error in Diagnostic Decision Making",Medical Decision Making,"This research examined the relative importance of information gathering versus information
utilization in accounting for errors in diagnostic decision making. Two experiments compared
physicians’ performances under two conditions: one in which they gathered a limited amount
of diagnostic information and then integrated it before making a decision, and the other in
which they were given all the diagnostic information and needed only to integrate it. The
physicians. 1) frequently failed to select normatively optimal information in both experimental
conditions; 2) were more confident about the correctness of their information selection when
their task was limited to information integration than when it also included information gathering;
and 3) made diagnoses in substantial agreement with those indicated by applying
normative procedures to the same data Physicians appear to have difficulties recognizing
the diagnosticity of information, which often results in decisions that are pseudodiagnostic
or based on diagnostically worthless information.",1991,Yes,Vignettes deciding between two diagnostic alternatives,Probability correct,No,No,No (manipulated),No,No,No,No,Primary Care,No,,No,105,,Calibration,,"Two conditions for limited information gathering and given complete information. Info gathering not optimal, higher confidence with complete information (no info gathering)"
"Berner, E.S.; Maisiak, R.S.",Influence of case and physician characteristics on perceptions of decision support systems,Journal of the American Medical Informatics Association,"Objective: This study examines how characteristics of clinical cases and physician users relate to the users' perceptions of the usefulness of the Quick Medical Reference (QMR) and their confidence in their diagnoses when supported by the decision support system. Methods: A national sample (N = 108) of 67 internists, 35 family physicians, and 6 other U.S. physicians used QMR to assist in the diagnosis of written clinical cases. Three sets of eight cases stratified by diagnostic difficulty and the potential of QMR to produce high-quality information were used. A 2 x 2 repeated-measures analysis of variance was used to test whether these factors were associated with perceived usefulness of QMR and physicians' diagnostic confidence after using QMR. Correlations were computed among physician characteristics, ratings of QMR usefulness, and physicians' confidence in their own diagnoses, and between usefulness or confidence and actual diagnostic performance. Results: The analyses showed that QMR was perceived to be significantly more useful (P < 0.05) on difficult cases, on cases where QMR could provide high-quality information, by non-board-certified physicians, and when diagnostic confidence was lower. Diagnostic confidence was higher when comfort with using certain QMR functions was higher. The ratings of usefulness or diagnostic confidence were not consistently correlated with diagnostic performance. Conclusions: The results suggest that users' diagnostic confidence and perceptions of QMR usefulness may be associated more with their need for decision support than with their actual diagnostic performance when using the system. Evaluators may fail to find a diagnostic decision support system useful if only easy cases are tested, if correct diagnoses are not in the system's knowledge base, or when only highly trained physicians use the system.",1999,Yes,Written cases,1-5 confidence,No,No,No,Yes,Yes (internists and physicians),,Yes (easy/difficulty and low/high quality info),General Practice / Emergency Medicine,,,Yes,108,,Decision Support / Cognitive Intervention,,Quick Medical Reference more useful on difficult cases and when confidence was lower
"Chartan, C.; Singh, H.; Krishnamurthy, P.; Sur, M.; Meyer, A.; Lutfi, R.; Stark, J.; Thammasitboon, S.",Isolating red flags to enhance diagnosis (I-RED): An experimental vignette study,International Journal for Quality in Health Care,"Objective: To investigate effects of a cognitive intervention based on isolation of red flags (I-RED) on diagnostic accuracy of 'do-not-miss diagnoses.' Design: A 2 _ 2 randomized case vignette-based experiment with manipulation of I-RED strategy between subjects and case complexity within subjects. Setting: Two university-based residency programs. Participants: One-hundred and nine pediatric residents from all levels of training. Interventions: Participants were randomly assigned to the I-RED vs. control group, and within each group, they were further randomized to the order in which they saw simple and complex cases. The I-RED strategy involved an instruction to look for a constellation of symptoms, signs, clinical data or circumstances that should heighten suspicion for a serious condition. Main Outcome Measures: Primary outcome was diagnostic accuracy, scored as 1 if any of the three differentials given by participants included the correct diagnosis, and 0 if not. We analyzed effects of I-RED strategy on diagnostic accuracy using logistic regression. Results: I-RED strategy did not yield statistically higher diagnostic accuracy compared to controls (62 vs. 48%, respectively; odd ratio = 2.07 [95% confidence interval, 0.78-5.5], P = 0.14) although participants reported higher decision confidence compared to controls (7.00 vs. 5.77 on a scale of 1 to 10, P < 0.02) in simple but not complex cases. I-RED strategy significantly shortened time to decision (460 vs. 657 s, P < 0.001) and increased the number of red flags generated (3.04 vs. 2.09, P < 0.001). Conclusions: A cognitive strategy of prompting red flag isolation prior to differential diagnosis did not improve diagnostic accuracy of 'do-not-miss diagnoses.' Given the paucity of evidence-based solutions to reduce diagnostic error and the intervention's potential effect on confidence, findings warrant additional exploration. © 2019 Published by Oxford University Press in association with the International Society for Quality in Health Care 2019.",2019,Yes,Paediatric cases,1-10 Confidence,Yes,No,No,No,Yes,Yes (three),Yes,Paediatric residents,Yes (years of medical education),,Yes,109,,Decision Support / Cognitive Intervention,,Cognitive intervention based on 'isolation of red flags' did not improve accuracy but increased confidence on simple cases and gave quicker responses
"Hautz, Wolf E; Schubert, Sebastian; Schauber, Stefan K; Kunina_Habenicht, Olga; Hautz, Stefanie C; Kämmer, Juliane E; Eva, Kevin W","Accuracy of self_monitoring: does experience, ability or case difficulty matter?",Medical Education,"Context                   The ability to self_monitor one's performance in clinical settings is a critical determinant of safe and effective practice. Various studies have shown this form of self_regulation to be more trustworthy than aggregate judgements (i.e. self_assessments) of one's capacity in a given domain. However, little is known regarding what cues inform learners’ self_monitoring, which limits an informed exploration of interventions that might facilitate improvements in self_monitoring capacity. The purpose of this study is to understand the influence of characteristics of the individual (e.g. ability) and characteristics of the problem (e.g. case difficulty) on the accuracy of self_monitoring by medical students.                   Methods                   In a cross_sectional study, 283 medical students from 5 years of study completed a computer_based clinical reasoning exercise. Confidence ratings were collected after completing each of six cases and the accuracy of self_monitoring was considered to be a function of confidence when the eventual answer was correct relative to when the eventual answer was incorrect. The magnitude of that difference was then explored as a function of year of seniority, gender, case difficulty and overall aptitude.                   Results                     Students demonstrated accurate self_monitoring by virtue of giving higher confidence ratings (57.3%) and taking a shorter time to work through cases (25.6 seconds) when their answers were correct relative to when they were wrong (41.8% and 52.0 seconds, respectively; p< 0.001 and                     d                      > 0.5 in both instances). Self_monitoring indices were related to student seniority and case difficulty, but not to overall ability or student gender.                   Conclusions                   This study suggests that the accuracy of self_monitoring is context specific, being heavily influenced by the struggles students experience with a particular case rather than reflecting a generic ability to know when one is right or wrong. That said, the apparent capacity to self_monitor increases developmentally because increasing experience provides a greater likelihood of success with presented problems.               ,                  The struggles students experience with a particular case are shown to have considerable influence on self_monitoring accuracy, suggesting this competence to be context specific.",2019,Yes,6 clinical scenarios,10 point scale (0% to 100%),Yes,No,Yes,No,Yes,No (but chosen from a list),No,Medical Students,"Yes (years of medical education, aptutide)",Students,No,115,,Confidence with Experience,Maybe other theme of knowledge vs experience,"Student monitoring accuracy improved with years of education, but not medical knowledge or gender"
"Staal, J.; Alsma, J.; Mamede, S.; Olson, A. P. J.; Prins-van Gilst, G.; Geerlings, S. E.; Plesac, M.; Sundberg, M. A.; Frens, M. A.; Schmidt, H. G.; Van den Broek, W. W.; Zwaan, L.",The relationship between time to diagnose and diagnostic accuracy among internal medicine residents: a randomized experiment,BMC Medical Education,"Background: Diagnostic errors have been attributed to cognitive biases (reasoning shortcuts), which are thought to result from fast reasoning. Suggested solutions include slowing down the reasoning process. However, slower reasoning is not necessarily more accurate than faster reasoning. In this study, we studied the relationship between time to diagnose and diagnostic accuracy. Methods: We conducted a multi-center within-subjects experiment where we prospectively induced availability bias (using Mamede et al.’s methodology) in 117 internal medicine residents. Subsequently, residents diagnosed cases that resembled those bias cases but had another correct diagnosis. We determined whether residents were correct, incorrect due to bias (i.e. they provided the diagnosis induced by availability bias) or due to other causes (i.e. they provided another incorrect diagnosis) and compared time to diagnose. Results: We did not successfully induce bias: no significant effect of availability bias was found. Therefore, we compared correct diagnoses to all incorrect diagnoses. Residents reached correct diagnoses faster than incorrect diagnoses (115 s vs. 129 s, p <.001). Exploratory analyses of cases where bias was induced showed a trend of time to diagnose for bias diagnoses to be more similar to correct diagnoses (115 s vs 115 s, p =.971) than to other errors (115 s vs 136 s, p =.082). Conclusions: We showed that correct diagnoses were made faster than incorrect diagnoses, even within subjects. Errors due to availability bias may be different: exploratory analyses suggest a trend that biased cases were diagnosed faster than incorrect diagnoses. The hypothesis that fast reasoning leads to diagnostic errors should be revisited, but more research into the characteristics of cognitive biases is important because they may be different from other causes of diagnostic errors. © 2021, The Author(s).",2021,Yes,8 clinical case,0-100% scale confidence that diagnosis was correct,Yes,No,No,No,No,No,No,Internal Medicine,No,,No,117,,Calibration,,"Correct cases took more similar durations to diagnose than errors (and faster), calibration not very high, no evidence of availability bias in confidence"
"Meyer, Ashley ND; Payne, Velma L; Meeks, Derek W; Rao, Radha; Singh, Hardeep","Physicians’ diagnostic accuracy, confidence, and resource requests: a vignette study",JAMA internal medicine,Our study suggests that physicians’ level of confidence may be relatively insensitive to both diagnostic accuracy and case difficulty. This mismatch might prevent physicians from reexamining difficult cases where their diagnosis may be incorrect.,2013,Yes,4 case vignettes,0-10 confidence in diagnosis (for each),Yes,Yes,No,No,Yes,Yes (1-3),Yes,Internal Medicine,No,,No,118,,Calibration,Also case complexity and downstream,"Overconfidence especially for difficult cases, linked to fewer requests for further diagnostic tests"
"Levin, P. D.; Idrees, S.; Sprung, C. L.; Weissman, C.; Weiss, Y.; Moses, A. E.; Benenson, S.",Antimicrobial use in the ICU: Indications and accuracy - an observational trial.,Journal of Hospital Medicine,"BACKGROUND: In intensive care unit (ICU) patients, signs of infection and inflammation are similar, making diagnosis of bacterial infections difficult. Antimicrobials may therefore be overused, contributing to development of antimicrobial-resistant bacteria. OBJECTIVES: To measure the accuracy of clinician decisions to start antimicrobials; to correlate clinician certainty with the presence of infection; and to examine whether physiological variables correlate with clinician certainty. DESIGN: Prospective observational study. SETTING AND PATIENTS: Patients staying >48 hours in a general ICU of a tertiary care hospital. MEASUREMENTS: The ICU clinician's certainty for the presence of infection was recorded when starting antimicrobials. An independent infectious diseases (ID) specialist determined if antimicrobials were required and if infection was present. Clinician antibiotic start decisions were tested for accuracy according to the ID determination for the presence of infection. RESULTS: Empirical antimicrobial therapy was justified by the presence of infection on 67/125 (54%) occasions. Clinician certainty for infection correlated well with the presence of defined infection (r2=0.78), however, infection was defined on 6/19 (31%) occasions when ICU clinician certainty was low (2), and antimicrobials were prescribed even when clinician certainty was minimal. Antimicrobial course length was similar whether infection was defined or not (11.5+or-9.2 vs 10.7+or-9.1 days; P=0.65). Physiological variables were not associated with clinician certainty of infection. CONCLUSIONS: Antimicrobial therapy is probably overused in the ICU, possibly resulting from difficulties in diagnosis and the perceived greater risk of untreated infection when compared to the risks of potentially unnecessary antimicrobial therapy. Efforts to improve antimicrobial-related decision-making should be mandatory.",2012,No,Observational in ICU,Certainty of presence of infection when starting patients on antimicrobials,No,No,No,No,No,No,No (not explicitly),ICU,No,,No,119,Mixture,Downstream Confidence / Patient Factors,,Antimicrobials overprescibed especially when clinician certainty was low
"Staal, J.; Katarya, K.; Speelman, M.; Brand, R.; Alsma, J.; Sloane, J.; Van den Broek, W. W.; Zwaan, L.",Impact of performance and information feedback on medical interns' confidence–accuracy calibration,Advances in Health Sciences Education,"Diagnostic errors are a major, largely preventable, patient safety concern. Error interventions cannot feasibly be implemented for every patient that is seen. To identify cases at high risk of error, clinicians should have a good calibration between their perceived and actual accuracy. This experiment studied the impact of feedback on medical interns’ calibration and diagnostic process. In a two-phase experiment, 125 medical interns from Dutch University Medical Centers were randomized to receive no feedback (control), feedback on their accuracy (performance feedback), or feedback with additional information on why a certain diagnosis was correct (information feedback) on 20 chest X-rays they diagnosed in a feedback phase. A test phase immediately followed this phase and had all interns diagnose an additional 10 X-rays without feedback. Outcome measures were confidence–accuracy calibration, diagnostic accuracy, confidence, and time to diagnose. Both feedback types improved overall confidence–accuracy calibration (R2No Feedback = 0.05, R2Performance Feedback = 0.12, R2Information Feedback = 0.19), in line with the individual improvements in diagnostic accuracy and confidence. We also report secondary analyses to examine how case difficulty affected calibration. Time to diagnose did not differ between conditions. Feedback improved interns’ calibration. However, it is unclear whether this improvement reflects better confidence estimates or an improvement in accuracy. Future research should examine more experienced participants and non-visual specialties. Our results suggest that feedback is an effective intervention that could be beneficial as a tool to improve calibration, especially in cases that are not too difficult for learners. © 2023, The Author(s).",2023,No,X-ray interpretation,0-10 confidence in diagnosis,No (manipulated to receive additional information),No,No,No,No,No,No,Medical Students,No,,No,125,,Calibration,,"Receiving feedback either on accuracy or on why a diagnosis was correct improved test accuracy and calibration later, the latter slightly more"
"Marx, G.; Koens, S.; Von Dem Knesebeck, O.; Scherer, M.",Age and gender differences in diagnostic decision-making of early heart failure: Results of a mixed-methods interview-study using video vignettes,BMJ Open,"Objectives Men and women at any age show similar symptoms and signs of heart failure (HF). Since early HF symptoms are ambiguous, doctors may overlook HF as possible cause and misinterpret the signs. The aim was to analyse differences in general practitioners' (GPs) HF diagnosis and diagnostic certainty by patient age and gender and to identify reasons for possible differences. Design Factorial design with video vignettes presenting patients (played by professional actors) with early HF symptoms was used. Video vignettes differed regarding patients' gender (male/female), age (55 years/75 years) and migration background (no/yes: Turkish), while the dialogue was identical. GPs were asked about possible diagnoses and certainty of diagnoses (quantitative) and to narrate their thoughts on considered diagnoses (qualitative). Setting General practices in northern Germany. Participants 128 GPs stratified by gender and length of clinical experience (≤15 years or >15 years). Results GPs considered HF more often in women than men (predicted probabilities with 95% CI: 0.83 (0.68 to 0.92) vs 0.63 (0.44 to 0.79), p=0.02), especially in older women compared with younger men (predicted probabilities with 95% CI: 0.89 (0.68 to 0.96) vs 0.52 (0.31 to 0.72), p=0,03). Suspected HF was not reasoned by the patient's gender and only seldom by the patient's age, but by reported symptoms. Diagnostic certainty of HF was higher in women than in men (predicted proportions with 95% CI: 0.48 (0.39 to 0.58) vs 0.36 (0.27 to 0.45), p=0.01), with highest certainty in older women and lowest in younger men (0.57 (0.45 to 0.69) vs 0.27 (0.17 to 0.37), p<0.01). GPs explained their certainty referring to both typical HF symptoms and their gut feeling. Conclusion Despite an identical dialogue, the study showed differences by patients' gender and age in frequency and certainty of HF diagnosis. In order to avoid that GPs overlook or misinterpret early signs of HF, it is important to critically reflect diagnostic decisions and possible social influences. ©",2022,Yes,Video vignettes,0-100% certainty,Yes,No,No,No,Yes (stratified by clinical experience),No,No,General Practice,Yes (age),,Yes,128,Mixture,Downstream Confidence / Patient Factors,,"Heart failure susepcted with higher certainty in women compared to men despite identical patient dialogue, especially older women"
"Sklar, D.P.; Hauswald, M.; Johnson, D.R.",Medical problem solving and uncertainty in the emergency department,Annals of Emergency Medicine,"Study objective: To compare the diagnostic processes of experienced emergency physicians with those of novices. Design: Prospective, convenience sample of patients. Setting: Emergency department of a county university medical center in a large southwestern urban community. Participants: Experienced emergency physicians (attending and senior residents) and novice clinicians (junior residents and senior medical students). Interventions: Participants developed initial diagnostic impressions after reviewing the chief complaint, nurse triage notes, and vital signs. Tests were then selected, and a final diagnostic impression was identified after results were known. Clinicians also marked a visual analog scale corresponding to their estimate that each diagnostic possibility was correct. Results: Experienced physicians increased their certainty more than novices (P = .014). They deviated from a standard history-physical-laboratory sequence more often than novices (P = .008). Conclusion: Expertise in medical decision making is characterized by a moderate initial level of certainty concerning a diagnosis that significantly increases as the experienced clinician follows a flexible strategy of testing to arrive at a final diagnosis. © 1991 American College of Emergency Physicians.",1991,No,"Real patients, filling in questionnaire",Visual analogue scale for each differential,Yes,"No, dynamic",No,Yes,Yes,Yes,No,Emergency Medicine,No,,Yes,128,,Confidence with Experience,,Experienced physicians increased certainty more than novies between initial diagnostic impression and final diagnosis
"McKinlay, J.B.; Lin, T.; Freund, K.; Moskowitz, M.",The unexpected influence of physician attributes on clinical decisions: Results of an experiment,Journal of Health and Social Behavior,"This experiment was designed to determine: (1) whether patient attributes (specifically a patient's age, gender, race, and socioeconomic status) independently influence clinical decision-making; and (2) whether physician characteristics alone (such as their gender, age, race, and medical specialty), or in combination with patient attributes, influence medical decision-making. Methods. An experiment was conducted in which 16 (= 24) videotapes portraying patient-physician encounters for two medical conditions (polymyalgia rheumatica (PMR) and depression) were randomly assigned to physicians for viewing. Each video presented a combination of four patient attributes (65 years or 80 years of age; male or female; black or white; blue or white collar occupation). Steps were taken to enhance external validity. One hundred twenty-eight eligible physicians were sampled from the northeastern United States, with numbers balanced across 16 (= 24) strata generated from the following characteristics (male or female; < 15 or ≥ 15 years since graduation; black or white; internists or family practitioners). The outcomes studied were: 1) the most likely diagnosis; 2) level of certainty adhering to that diagnosis; and 3) the number of tests that would be ordered. Results. Patient attributes (namely age, race, gender, and socioeconomic status) had no influence on the three outcomes studied (the most likely diagnosis, the level of certainty, and test ordering behavior). This was consistent across the two medical conditions portrayed (PMR and depression). In contrast, characteristics of physicians (namely their medical specialty, race, and age) interactively influenced medical decision-making. Conclusion. Epidemiologically important patient attributes (which Bayesian decision theorists hold should be influential) had no effect on medical decision-making for the two conditions, while clinically extraneous physician characteristics (which should not be influential) had a statistically significant effect. The validity of idealized theoretical approaches to medical decision making and the usefulness of further observational approaches are discussed.",2002,Yes,2 Video vignettes,Certainty adhering to diagnosis (% likelihood for each differential),Yes,No (video),No,No,No,Yes,No,Primary Care,No,,No,128,,Downstream Confidence / Patient Factors,,"Characteristics of phyisicans, not patients, within physician-patient interactions influenced diagnostic certainty"
"Yang, Huiqin; Thompson, Carl",Nurses’ risk assessment judgements: a confidence calibration study: Nurses’ risk assessment judgements,Journal of Advanced Nursing,"Background. Miscalibration (i.e. under-conﬁdence or over-conﬁdence of conﬁdence levels) has an important impact on the quality of nursing care. Despite this, little is known about how nurses’ subjective conﬁdence is calibrated with the accuracy of their judgments.     Methods. A sample of 103 nursing students and 34 experienced nurses were exposed to 25 risk assessment vignettes. For each vignette they made dichotomous judgements of whether the patient in each scenario was at risk of a critical event, and assigned conﬁdence ratings (0–100) to their judgement calls. The clinical vignettes and judgement criteria were generated from real patient cases. The methodology of conﬁdence calibration was used to calculate calibration measures and generate calibration curves. Data were collected between March 2007 and January 2008. Findings. Experienced nurses were statistically signiﬁcantly more conﬁdent than students but no more accurate. Whilst students tended towards under-conﬁdence, experienced nurses were over-conﬁdent. Experienced nurses were no more calibrated than students. Experienced nurses were no better at discriminating between correct and incorrect judgements than students. These patterns were exacerbated when nurses and students were extremely over-conﬁdent or extremely under-conﬁdent.     Conclusion. Nurses were systematically biased towards over/under-conﬁdence in their critical event risk assessment judgements. In particular, experienced nurses were no better calibrated than their student counterparts; with student under-conﬁdence countered by experienced nurses’ greater susceptibility to over-conﬁdence.",2010,Yes,Risk assessment vignettes,0-100 confidence,Yes,No,No,Yes,Yes,No,No,Nursing,No,,Yes,137,,Confidence with Experience,,No real difference in calibration between students and expert nurses
"Keene, T.; Pammer, K.; Lord, B.; Shipp, C.",Dispatch information affects diagnosis in paramedics: an experimental study of applied dual-process theory,International Journal of Emergency Services,"Purpose: Previous research has shown that paramedics form intuitive impressions based on limited “pre-arrival” dispatch information and this subsequently affects their diagnosis. However, this observation has never been experimentally studied. Design/methodology/approach: This was an experimental study of 83 Australian undergraduate paramedics and 65 Australian paramedics with median 14 years' experience (Range: 1–32 years). Participants responded to written vignettes in two parts that aimed to induce an intuitive impression by placing participants under time pressure and with a secondary task, followed by a diagnosis made without distraction or time pressure. The vignettes varied the likelihood of Acute Coronary Syndrome (ACS) and measured self-reports of typicality and confidence. Answer fluency, which is the ease with which the answer comes to mind, was also measured. Findings: More participants exposed to the likely pre-arrival vignette recorded a final diagnosis of ACS, than those exposed to unlikely pre-arrival information (0.85 [95%CI: 0.78, 0.90] vs 0.74 [95%CI: 0.66, 0.81]; p = 0.03). This effect was greater in paramedics with more than 14 years' experience (0.94 [95%CI: 0.78, 0.99] vs 0.67 [95%CI: 0.48, 0.81]; p = 0.01). Answer fluency and confidence were associated with the impression, while the impression and confidence were associated with final diagnosis. Practical implications: The authors have experimentally shown that pre-arrival information can affect subsequent diagnosis. The most experienced paramedics were more likely to be affected. Originality/value: This is the first experimental study of diagnostic decision-making in paramedics and paramedic students. © 2022, Emerald Publishing Limited.",2022,Yes,"Vignettes in two parts with an intuitive impression and then diagnosis, with or wtihout secondary task distraction",4 point scale,Yes,Yes,No,Yes (undergrads and paramedics),Yes,No,No,Paramedics,No,,Yes,148,,Confidence with Experience,,"Experience improved correct diagnosis with initial information, and were better calibrated"
"Tabak, Nili; Bar-Tal, Yoram; Cohen-Mansfield, Jiska",Clinical decision making of experienced and novice nurses,Western Journal of Nursing Research,"
Decision making is an important daily nursing activity. Given contradictory past findings concerning the ease of use of cognitive schema for reaching decisions among experts and novices, we chose to examine consistency of information as a parameter that may clarify the process of decision making. Ninety-two experienced nurses and 65 nursing students rated their decisional difficulty and levels of certainty in reaching a diagnosis for two scenarios: one including consistent information and one providing information that was partly inconsistent with the given diagnosis. For the consistent information, students showed more difficulty and less certainty in the given diagnosis than the experienced nurses. The inconsistent scenario was perceived as more difficult by nurses in comparison to students. The cognitive processes responsible for these results are discussed.",1996,Yes,Two scenarios,0-100% scale confidence in diagnosis,Yes,No,No,Yes,Yes,No,Yes,Nursing,No,,Yes,157,,Confidence with Experience,,"Students reported lower certainty for the case with consistent information, but higher certainty than experienced nurses for inconsistent case"
"Cleary, T. J.; Konopasky, A.; La Rochelle, J. S.; Neubauer, B. E.; Durning, S. J.; Artino, A. R.",First-year medical students’ calibration bias and accuracy across clinical reasoning activities,Advances in Health Sciences Education,"To be safe and effective practitioners and learners, medical professionals must be able to accurately assess their own performance to know when they need additional help. This study explored the metacognitive judgments of 157 first-year medical students; in particular, the study examined students’ self-assessments or calibration as they engaged in a virtual-patient simulation targeting clinical reasoning practices. Examining two key subtasks of a patient encounter, history (Hx) and physical exam (PE), the authors assessed the level of variation in students’ behavioral performance (i.e., effectiveness and efficiency) and judgments of performance (i.e., calibration bias and accuracy) across the two subtasks. Paired t tests revealed that the Hx subtask was deemed to be more challenging than the PE subtask when viewed in terms of both actual and perceived performance. In addition to students performing worse on the Hx subtask than PE, they also perceived that they performed less well for Hx. Interestingly, across both subtasks, the majority of participants overestimated their performance (98% of participants for Hx and 95% for PE). Correlation analyses revealed that the participants’ overall level of accuracy in metacognitive judgments was moderately stable across the Hx and PE subtasks. Taken together, findings underscore the importance of assessing medical students’ metacognitive judgments at different points during a clinical encounter. © 2019, The Author(s).",2019,No,Some of kind of virtual patient sim,Estimations of performance,Yes,Yes,No,No,No,No,No,Medical Students,No,,No,157,,Calibration,,History taking deemed more challenging than physical exams. Overestimation of performance on both.
"Neugebauer, M.; Ebert, M.; Vogelmann, R.",A clinical decision support system improves antibiotic therapy for upper urinary tract infection in a randomized single-blinded study.,BMC Health Services Research,"Background: Due to increasing bacterial resistance rates choosing a correct empiric antibiotic therapy is getting more and more complex. Often medical doctors use information tools to make the right treatment choice. Methods: One hundred sixty six participants (77 medical doctors and 89 medical students) were asked to provide a diagnosis and antibiotic therapy in a simple fictive paper case of upper urinary tract infection (UTI) in a randomized single-blinded study. Participants were randomized to one of four information tools they were allowed to use in the study or control: 1. free internet access, 2. pharmaceutical pocket guide, 3. pocket guide antibiotic therapy, 4. clinical decision support system (CDSS), and control (no information tool). The CDSS was designed for the study. The adherence to the national German UTI guideline was evaluated. Results: Only 27.1% (n = 45/166) provided a correct diagnosis of upper UTI and 19.4% (n = 32/166) an antibiotic treatment recommended by national German treatment guidelines indicating their need for information tools. This result was not significantly different between medical doctors and medical students, residents and medical specialists or level of working experience. Using CDSS improved results significantly compared to conventional tools (diagnosis 57.1%; treatment recommendation 40.5%; p < 0,01). Processing time was not different between the use of CDSS and conventional information tools. CDSS users based their decision making on their assigned information tool more than users of conventional tools (73.8% vs. 48.0%; p < 0.01). Using CDSS improved the confidence of participants in their recommendation significantly compared to conventional tools (p < 0.01). Conclusions: Our study suggests that medical professionals require information tools in diagnosing and treating a simple case of upper UTI correctly. CDSS appears to be superior to conventional tools as an information source.",2020,Yes,Fictive Paper Case,Confidence in Diagnosis (%),Yes,No,No (but IV of different information tools including internet and decision support),Yes,Yes (not much difference between doctors and students),No (single),No,Medical Doctors (Internal Medicine),No,77 medical doctors and 89 year 3-6 students,Yes,166,Acute,Decision Support / Cognitive Intervention,,"Using a decision support tool led to more correct diagnoses and higher confidence compared to other tools, similar for students and doctors"
